organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC2,piperacillin-tazobactam,2023,556,1553,35.8,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,35.8,35.8,
Escherichia coli,RC2,piperacillin-tazobactam,2024,1491,3994,37.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,37.3,37.33,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,amikacin,2023,318,504,63.1,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,63.1,63.1,
Escherichia coli,RC3,amikacin,2024,256,492,52.0,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,52.0,52.03,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,cefotaxime,2023,136,504,27.0,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,27.0,26.98,
Escherichia coli,RC3,cefotaxime,2024,100,492,20.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,20.3,20.33,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,ceftazidime,2023,148,504,29.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,29.4,29.37,
Escherichia coli,RC3,ceftazidime,2024,105,492,21.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,21.3,21.34,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,ciprofloxacin,2023,138,504,27.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,27.4,27.38,
Escherichia coli,RC3,ciprofloxacin,2024,125,492,25.4,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,25.4,25.41,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,ertapenem,2023,422,504,83.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,83.7,83.73,
Escherichia coli,RC3,ertapenem,2024,409,492,83.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,83.1,83.13,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,imipenem,2023,425,504,84.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,84.3,84.33,
Escherichia coli,RC3,imipenem,2024,405,491,82.5,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,82.5,82.48,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,levofloxacin,2023,149,504,29.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,29.6,29.56,
Escherichia coli,RC3,levofloxacin,2024,136,491,27.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,27.7,27.7,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,meropenem,2023,424,504,84.1,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,84.1,84.13,
Escherichia coli,RC3,meropenem,2024,406,492,82.5,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,82.5,82.52,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC3,piperacillin-tazobactam,2023,182,502,36.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,36.3,36.25,
Escherichia coli,RC3,piperacillin-tazobactam,2024,138,490,28.2,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,28.2,28.16,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC4,amikacin,2023,580,1004,57.8,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,57.8,57.77,
Escherichia coli,RC4,amikacin,2024,543,714,76.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,76.1,76.05,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
