organism,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Acinetobacter baumannii,levofloxacin,2019,1500,7841,19.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,19.1,19.13,
Acinetobacter baumannii,levofloxacin,2019,1500,7841,19.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,19.1,19.13,
Acinetobacter baumannii,levofloxacin,2020,825,6181,13.3,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,13.3,13.35,
Acinetobacter baumannii,levofloxacin,2020,825,6181,13.3,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,13.3,13.35,
Acinetobacter baumannii,levofloxacin,2020,825,6181,13.3,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,13.3,13.35,
Acinetobacter baumannii,levofloxacin,2021,1382,9919,13.9,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,13.9,13.93,
Acinetobacter baumannii,levofloxacin,2021,1382,9919,13.9,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,13.9,13.93,
Acinetobacter baumannii,levofloxacin,2021,1382,9919,13.9,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,13.9,13.93,
Acinetobacter baumannii,levofloxacin,2022,1755,10013,17.5,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,17.5,17.53,
Acinetobacter baumannii,levofloxacin,2022,1755,10013,17.5,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,17.5,17.53,
Acinetobacter baumannii,levofloxacin,2022,1755,10013,17.5,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,17.5,17.53,
Acinetobacter baumannii,levofloxacin,2023,749,6221,12.0,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,12.0,12.04,
Acinetobacter baumannii,levofloxacin,2023,749,6221,12.0,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,12.0,12.04,
